,name,address,zip,lat,lon,category
231,ORIENT HEIGHTS YACHT CLB INC,  THURSTON ST ,2128.0,42.383954285591145,-71.00548729787464,Commercial
232,ORIENT HEIGHTS YACHT CLB INC,61  BAYSWATER ST ,2128.0,42.383879199940374,-71.00461805255871,Social
233,LANDRIGAN GEORGE TRST,391  393 MAVERICK ST ,2128.0,42.365405770978505,-71.02872977587434,Commercial
234,LANDRIGAN GEORGE TS,2  12 JEFFRIES ST ,2128.0,42.3654750381622,-71.02889207441054,Commercial
235,JEFFERIES YACHT CLUB,565  567 SUMNER ST ,2128.0,42.363548332967696,-71.02813677836328,Recreation
236,BOSTON MARINE WORKS,218  260 MARGINAL ST ,2128.0,42.36225475642964,-71.03189467317407,Recreation
237,BOSTON MARINE WORKS INC,233  MARGINAL ST ,2128.0,42.36207342935397,-71.0338681854664,Recreation
238,CITY OF BOSTON,175  WEBSTER ST ,2128.0,42.36550282181729,-71.03504552127335,Education
239,BOSTON MARINE WORKS,264  280 MARGINAL ST ,2128.0,42.36429205469989,-71.03286016588464,Recreation
240,SUMNER DEVELOPMENT PARTNERS LLC,6  SUMNER PL ,2128.0,42.366152392565944,-71.03417485976016,Commercial
241,331 SUMNER PROPERTIES LLC,331  SUMNER ST ,2128.0,42.367018954416935,-71.0360704942202,Food access
242,HARKER JONATHAN,64  COTTAGE ST ,2128.0,42.367313888930774,-71.03571678935134,Food access
243,SUMNER REALTY TRUST,334  SUMNER ST ,2128.0,42.36739907267868,-71.0357457676213,Commercial
244,SUMNER REALTY TRUST,330  332 SUMNER ST ,2128.0,42.36742955545524,-71.03581955277878,Commercial
