,name,municipal,zipcode,address,latitude,longitude,buisness_type
3612,CVS/Pharmacy,Boston,2116,240 Newbury St # 240,42.349498,-71.08184,Food access
3613,CVS/Pharmacy,Boston,2108,29 Winter St,42.356134,-71.06128,Food access
3614,CVS/Pharmacy,Boston,2115,300 Longwood Ave,42.337187,-71.105324,Food access
3615,CVS/Pharmacy,Boston,2108,333 Washington St,42.356916,-71.059193,Food access
3616,CVS/Pharmacy,Boston,2116,400 Tremont St,42.347146,-71.068279,Food access
3617,CVS/Pharmacy,Boston,2127,423 W Broadway # 300,42.336605,-71.04752,Food access
3618,CVS/Pharmacy,Boston,2110,55 Summer St # B,42.354202,-71.059279,Food access
3619,CVS/Pharmacy,Boston,2116,587 Boylston St,42.350536,-71.076993,Food access
3620,CVS/Pharmacy,Boston,2111,631 Washington St,42.352369,-71.062659,Food access
3621,CVS/Pharmacy,Boston,2111,700 Atlantic Ave,42.351171,-71.056125,Food access
3622,CVS/Pharmacy,Boston,2109,81 Milk St,42.356696,-71.057308,Food access
3623,CVS/Pharmacy,Boston,2215,900 Commonwealth Ave # 8376,42.35051,-71.116238,Food access
3840,Rite Aid,Boston,2215,1295 Boylston St # 120,42.345095,-71.097766,Food access
3841,Rite Aid,Boston,2127,710 E Broadway,42.336156,-71.036509,Food access
3920,Walgreens,Boston,2128,1 Central Sq,42.374277,-71.038664,Food access
3921,Walgreens,Boston,2136,1035 Truman Hwy,42.242154,-71.127302,Food access
3922,Walgreens,Boston,2118,1603 Washington St,42.338253,-71.074961,Food access
3923,Walgreens,Boston,2108,24 School St,42.357506,-71.059129,Food access
3924,Walgreens,Boston,2113,332 Hanover St # 100,42.364427,-71.053872,Food access
3925,Walgreens,Boston,2215,429 Brookline Ave,42.338454,-71.108158,Food access
3926,Walgreens,Boston,2111,620 Washington St,42.352615,-71.062516,Food access
3927,Walgreens,Boston,2110,70 Summer St,42.354067,-71.058525,Food access
3928,Walgreens,Boston,2119,75 Amory St # 100,42.320618,-71.099529,Food access
4070,Alhoda Market,Boston,2109,114 Blackstone St,42.359135,-71.055237,Food access
4087,Butcher Block Meat Co,Boston,2118,14 Food Mart Rd,42.337319,-71.062839,Food access
4094,Casablanca Meat Market,Boston,2109,116 Blackstone St,42.359135,-71.055237,Food access
4105,Di Paolo & Rossi Meat Market,Boston,2113,56 Salem St,42.363193,-71.056201,Food access
4109,El Paissa Butchershop,Boston,2128,1010 Bennington St,42.386951,-71.006619,Food access
4117,Hajar Market,Boston,2109,116 Blackstone St,42.359135,-71.055237,Food access
4130,Kinnealey TF & Co,Boston,2118,1000 Massachusetts Ave,42.328372,-71.067614,Food access
4134,Lambert Beef Co,Boston,2118,49 Food Mart Rd,42.340851,-71.070838,Food access
4148,Meat & Fish Market,Boston,2109,118 Blackstone St # B,42.359135,-71.055237,Food access
4157,New England Meat Co,Boston,2110,267 Kentlands Blvd # 700,42.356372,-71.054279,Food access
4158,New Meat Market,Boston,2109,94 Blackstone St,42.361487,-71.056184,Food access
4159,North End Fish Market,Boston,2113,99 Salem St # 1,42.363909,-71.055489,Food access
4171,Roy's Cold Cuts,Boston,2128,198 Marion St,42.375525,-71.034673,Food access
4177,Sulmona Meat Market,Boston,2113,32a Parmenter St,42.364054,-71.055356,Food access
4291,Ming Kee,Boston,2111,54 Kneeland St,42.350656,-71.061137,Food access
4297,New Boston Meat,Boston,2118,81 Newmarket Sq,42.329182,-71.066826,Food access
4302,One A Corp,Boston,2128,9 Meridian St,42.370491,-71.038779,Food access
4315,Red's Best,Boston,2210,212 Northern Ave,42.350476,-71.038265,Food access
4331,Wings Enterprises Inc,Boston,2111,48 Beach St,42.35155,-71.060794,Food access
4334,Boston & Maine Fish Co,Boston,2109,1 Faneuil Hall Market Pl,42.359735,-71.053586,Food access
4337,Legal Sea Foods,Boston,2116,100 Huntington Ave # 77,42.347042,-71.077828,Food access
4342,18 Seafood Market,Boston,2111,18 Hudson St,42.350508,-71.059956,Food access
4379,Buy New England Lobsters,Boston,2127,696 E 1st St,42.335475,-71.043154,Food access
4385,Cape Cod Shellfish & Seafood,Boston,2210,29 Fish Pier St W # 31,42.349242,-71.044476,Food access
4397,Caviar Shops,Boston,2210,207 A St,42.349242,-71.044476,Food access
4419,East Boston Oysters,Boston,2210,9 Fish Pier St E,42.349369,-71.039276,Food access
4430,Eternal Star Seafood Inc,Boston,2118,649 Harrison Ave # 138,42.339458,-71.069583,Food access
4442,Gloucester Seafood Procng Inc,Boston,2109,1 Post Office Sq,42.356937,-71.05585,Food access
4444,Golden Banks Seafood Inc,Boston,2210,1 Fish Pier Rd,42.349242,-71.044476,Food access
4446,Great Eastern Seafood Inc,Boston,2118,44 Newmarket Sq,42.328582,-71.065768,Food access
4456,Huntington Seafood,Boston,2115,764 Huntington Ave,42.333328,-71.105974,Food access
4457,International Lobster & Maguro,Boston,2118,22 Food Mart Rd,42.337367,-71.062863,Food access
4460,James Hook & Co,Boston,2110,440 Atlantic Ave,42.356372,-71.054279,Food access
4475,Legal Seafood,Boston,2210,6 Fid Kennedy Ave,42.349242,-71.044476,Food access
4480,Legeal Sea Foods,Boston,2116,35 Columbus Ave,42.350812,-71.074581,Food access
4550,Polar Seafood Corp,Boston,2210,145 Northern Ave # 3,42.349242,-71.044476,Food access
4551,Portside Seafood,Boston,2210,24 Fish Pier St W,42.349822,-71.03907,Food access
4557,Red's Best,Boston,2210,13 Fish Pier,42.349242,-71.044476,Food access
4558,Reds Best,Boston,2109,136 Blackstone St,42.36216,-71.057495,Food access
4581,Seafood Specialties,Boston,2210,25 Fish Pier,42.349242,-71.044476,Food access
4588,Skipjack's Seafood E,Boston,2116,Clarendon & Saint James,42.350812,-71.074581,Food access
4594,Staemis Seafood,Boston,2210,7 Channel St,42.345024,-71.037095,Food access
4596,Stavis Seafood,Boston,2210,37 Fish Pier,42.349242,-71.044476,Food access
4597,Stavis Seafood,Boston,2210,660 Summer St,42.345524,-71.037939,Food access
4600,Stranded Catfish Inc,Boston,2127,922 E Broadway # 1,42.335963,-71.027334,Food access
4602,Sunny's Seafood Inc,Boston,2210,Bay One Boston Fish Pier,42.349242,-71.044476,Food access
4611,Twin Dragon Seafood Inc,Boston,2111,10a Tyler St,42.350978,-71.060463,Food access
4614,Victoria Seafood Inc,Boston,2215,1029 Commonwealth Ave,42.352273,-71.121902,Food access
4623,Boston Lobsters,Boston,2163,65 N Harvard St,42.367265,-71.1248,Food access
4628,Caviar,Boston,2111,745 Atlantic Ave # 434,42.350309,-71.057103,Food access
4629,Caviar Boston,Boston,2215,921 Beacon St # 1,42.34593,-71.106372,Food access
4633,Commercial Lobster Co,Boston,2110,185 Franklin St,42.3554,-71.054818,Food access
4637,James Hook & Co,Boston,2210,15 Northern Ave,42.352939,-71.046009,Food access
4647,No Name Restaurant,Boston,2109, ,42.359135,-71.055237,Food access
4654,Sousa Lobster Co Inc,Boston,2210,16 Fish Pier,42.349559,-71.039264,Food access
4673,Boston Seafood,Boston,2210,8 Fid Kennedy Ave,42.349242,-71.044476,Food access
4674,Bramante Seafood,Boston,2210,2 Fish Pier St W,42.349171,-71.03962,Food access
4699,East Bay Seafood,Boston,2210,8 Seafood Way # 1b,42.349045,-71.031157,Food access
4730,Martinez Seafood Inc,Boston,2210,212 Northern Ave,42.350476,-71.038265,Food access
4755,Seafood USA Coast,Boston,2109,15 Broad St # 415,42.358721,-71.054799,Food access
4782,A Dozen Eggs,Boston,2116,553 Tremont St,42.343995,-71.071665,Food access
4823,Cheese Shop,Boston,2113,20 Fleet St,42.3647,-71.052849,Food access
4850,Fortune Market Inc,Boston,2111,40 Harrison Ave,42.351664,-71.060968,Food access
4853,Fresh Eggs Inc,Boston,2116,58 Clarendon St,42.346442,-71.073332,Food access
4906,Saga Dairy Inc,Boston,2118,30 Union Park St # 403,42.341883,-71.070058,Food access
4944,G & S Group LLC,Boston,2109,1 Faneuil Hall Market Pl,42.359735,-71.053586,Food access
4949,Gourmet Boutique,Boston,2116,10 Huntington Ave,42.348298,-71.077612,Food access
4984,Beacon Hill Gourmet,Boston,2114,65 Charles St,42.358114,-71.070184,Food access
5006,Chinatown Hit,Boston,2111,27 Harrison Ave,42.351754,-71.061463,Food access
5034,Giorgiana's,Boston,2116,532 Tremont St,42.344493,-71.070534,Food access
5041,Gourmet Exchange,Boston,2118,70 Newmarket Sq,42.328799,-71.066936,Food access
5042,Gourmet Foods Of America Inc,Boston,2109,Faneuil Hall Marketplace,42.359135,-71.055237,Food access
5045,Gourmet Inc,Boston,2111,70 Tyler St,42.349291,-71.061259,Food access
5047,Gourmet Products,Boston,2118,35 Wareham St,42.339373,-71.068101,Food access
5050,Gypsy Kitchen,Boston,2108, ,42.357979,-71.062564,Food access
5052,Health Resources,Boston,2222,Jfk Federal Bldg # 1826,42.364973,-71.062334,Food access
5064,Lankagems Inc,Boston,2116,85 Newbury St,42.351918,-71.074963,Food access
5068,Lovely Fare,Boston,2113,30 Prince St,42.364487,-71.05444,Food access
5085,Silver Screen Gourmet,Boston,2109,3 Lewis St # 1,42.363276,-71.051876,Food access
5086,Sio Kam Lung Inc,Boston,2111,65 Harrison Ave,42.351316,-71.061313,Food access
5089,South End Gourmet Shop,Boston,2116,74 Appleton St,42.345583,-71.072507,Food access
5098,Whittard Of Chelsea,Boston,2109,1 Faneuil Hall Sq,42.360041,-71.055744,Food access
5099,Whittard Of Chelsea,Boston,2116,170 Newbury St,42.350336,-71.07882,Food access
5129,A & P Supermarket,Boston,2115,77 Avenue Louis Pasteur,42.338414,-71.103178,Food access
5145,Abruzzese Meat Market,Boston,2113,94 Salem St,42.363915,-71.055715,Food access
5148,Ace Store,Boston,2116,110 Stuart St,42.351007,-71.065166,Food access
5156,Adam Market,Boston,2109,116 Blackstone St,42.359135,-71.055237,Food access
5161,Aguadilla Market,Boston,2118,664 Tremont St # A,42.341362,-71.075795,Food access
5195,Alvaro Market,Boston,2128,51 Cottage St,42.367108,-71.035677,Food access
5244,Atlantic To Hudson Inc,Boston,2111,18 Hudson St,42.350508,-71.059956,Food access
5273,Bella's Market,Boston,2128,73 Maverick Sq,42.369842,-71.038558,Food access
5275,Bello's Market,Boston,2128,75 Maverick Sq,42.370016,-71.03864,Food access
5285,Billy's Market,Boston,2114,31 Phillips St,42.361233,-71.065706,Food access
5296,Bob's Grocery Store,Boston,2113,160 Endicott St,42.365445,-71.057562,Food access
5313,Boston Food Imports Inc,Boston,2128,1024 Bennington St,42.387166,-71.006,Food access
