Age_yrs,Education_level,Income_level,Gender,Random_twin_split,P-SDQ_Emo,P-SDQ_Conduct,P-SDQ_Hyper,P-SDQ_Peer,P-SDQ_Procosial,P-SDQ_Total_Problems,P-EATQ_Aggression,C-EATQ_Aggression,C_IBSbully,C_IBSvictim,C_IBSfight,Bully_Fight,Bully_Victim,C_IBS_Total,coop1,coop_rt1,coop2,coop_rt2,coop3,coop_rt3,coop4,coop_rt4,coop5,coop_rt5,coop6,coop_rt6,coop7,coop_rt7,coop8,coop_rt8,coop9,coop_rt9,coop10,coop_rt10,Strategy
15,7,4,1,1,3,2,2,0,10,7,15,19,4,5,0,4,9,9,CC,9.35,CC,3.780000000000001,CD,3.6899999999999995,DC,4.550000000000001,DC,4.959999999999997,CC,4.050000000000001,DD,5.190000000000001,DC,4.310000000000002,DC,4.159999999999997,DC,4.25,other
14,9,7,2,1,0,0,0,2,10,2,8,30,3,2,0,3,5,5,CC,22.76,DC,5.16,CD,3.7799999999999976,DC,4.330000000000002,DC,3.8500000000000014,DC,3.8699999999999974,DD,3.9399999999999977,CC,3.6099999999999994,DC,4.1200000000000045,CC,3.489999999999995,draw blood
16,9,9,2,1,2,2,5,4,8,13,17,23,2,0,1,3,2,3,CC,10.73,CC,4.559999999999999,CD,5.07,CC,6.879999999999999,CC,3.9300000000000033,CC,3.6299999999999955,CD,4.230000000000004,CC,4.729999999999997,CC,4.539999999999999,CC,5.710000000000001,full cooperation
14,7,8,1,1,0,0,0,0,10,0,12,24,4,2,0,4,6,6,CC,10.12,CC,4.15,CD,6.07,DC,6.48,CC,5.75,DC,4.289999999999999,CD,4.980000000000004,DC,5.669999999999995,CC,5.020000000000003,CC,6.560000000000002,other
15,9,6,2,1,5,0,1,1,10,7,15,23,0,0,0,0,0,0,CC,14.59,CC,5.030000000000001,CD,4.359999999999999,DC,4.41,CC,4.939999999999998,DC,7.789999999999999,CD,4.539999999999999,DC,8.82,CC,5.090000000000003,CC,14.350000000000001,other
14,7,6,2,1,2,1,4,1,8,8,21,20,5,0,0,5,5,5,DC,11.23,DC,3.969999999999999,DD,3.879999999999999,DC,3.6700000000000017,CC,5.09,DC,4.550000000000001,DD,4.060000000000002,CC,4.509999999999998,CC,4.369999999999997,DC,5.050000000000004,draw blood
16,7,8,1,1,0,0,3,1,10,4,10,22,2,0,0,2,2,2,CC,8.65,CC,4.699999999999999,CD,3.950000000000001,CC,8.649999999999999,CC,7.330000000000002,CC,5.229999999999997,CD,4.350000000000001,DC,6.609999999999999,CC,5.410000000000004,CC,10.300000000000004,other
13,7,7,2,1,2,3,6,2,10,13,18,31,3,0,1,4,3,4,DC,9.26,CC,3.960000000000001,CD,3.540000000000001,CC,3.719999999999999,CC,3.75,CC,3.59,CD,3.8900000000000006,CC,4.07,DC,3.490000000000002,CC,3.489999999999995,draw blood
13,9,8,1,1,0,1,9,0,10,10,12,31,8,4,3,11,12,15,DC,14.52,CC,4.650000000000002,CD,5.029999999999998,DC,4.359999999999999,CC,3.820000000000004,CC,5.469999999999999,CD,4.369999999999997,CC,4.539999999999999,DC,4.32,CC,4.18,draw blood
14,9,9,1,1,1,0,1,0,10,2,7,21,6,0,0,6,6,6,DC,15.66,CC,7.09,CD,7.949999999999999,DC,5.900000000000002,CC,5.530000000000001,DC,9.619999999999997,DD,7.109999999999999,CC,5.269999999999996,DC,4.840000000000003,DC,5.519999999999996,draw blood
