City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Johnson/ Weld,Stein/ Baraka,Mcmullin/ Johnson,Kotlikoff/ Leamer,Feegbeh/ O'Brien,Moorehead/ Lilly,Schoenke/ Mitchel,All Others,No Preference,Blanks,Total Votes Cast,,
Barnstable,-,9,620.00,341.00,42.00,23.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,7.00,1051.00,,
Barnstable,-,10,928.00,929.00,98.00,27.00,3.00,0.00,0.00,0.00,0.00,28.00,0.00,23.00,2036.00,,
Barnstable,-,11,1124.00,1101.00,100.00,27.00,5.00,0.00,0.00,0.00,0.00,39.00,0.00,28.00,2424.00,,
Barnstable,-,12,1050.00,1032.00,111.00,26.00,1.00,0.00,0.00,0.00,0.00,29.00,0.00,23.00,2272.00,,
Barnstable,-,13,868.00,619.00,59.00,35.00,3.00,0.00,0.00,0.00,0.00,12.00,0.00,30.00,1626.00,,
Barre,-,1,639.00,712.00,87.00,36.00,4.00,0.00,0.00,0.00,0.00,24.00,0.00,19.00,1521.00,,
Barre,-,2,562.00,717.00,77.00,22.00,3.00,0.00,0.00,0.00,0.00,18.00,0.00,16.00,1415.00,,
Becket,-,1,571.00,368.00,37.00,25.00,6.00,0.00,0.00,0.00,0.00,22.00,0.00,18.00,1047.00,,
Bedford,-,1,1419.00,548.00,116.00,23.00,0.00,0.00,0.00,0.00,0.00,47.00,0.00,28.00,2181.00,,
Bedford,-,2,1165.00,648.00,77.00,25.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,33.00,1985.00,,
Bedford,-,3,1379.00,512.00,95.00,19.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,29.00,2070.00,,
Bedford,-,4,1122.00,503.00,116.00,25.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,22.00,1830.00,,
Belchertown,-,A,1103.00,698.00,78.00,53.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,40.00,2001.00,,
Belchertown,-,B,977.00,894.00,117.00,43.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,35.00,2104.00,,
Belchertown,-,C,1048.00,955.00,107.00,38.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,58.00,2217.00,,
Belchertown,-,D,1280.00,606.00,90.00,58.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,49.00,2096.00,,
Bellingham,-,1,797.00,786.00,111.00,20.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,19.00,1766.00,,
Bellingham,-,2,846.00,834.00,107.00,19.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,35.00,1889.00,,
Bellingham,-,3,895.00,791.00,93.00,25.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,19.00,1849.00,,
Bellingham,-,4,687.00,711.00,99.00,11.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,18.00,1561.00,,
Bellingham,-,4A,104.00,92.00,10.00,2.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,213.00,,
Bellingham,-,5,704.00,845.00,82.00,23.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,22.00,1704.00,,
Belmont,-,1,1326.00,339.00,73.00,27.00,8.00,0.00,0.00,0.00,0.00,33.00,0.00,35.00,1841.00,,
Belmont,-,2,1248.00,501.00,85.00,17.00,14.00,0.00,0.00,0.00,0.00,59.00,0.00,22.00,1946.00,,
Belmont,-,3,1317.00,366.00,57.00,21.00,9.00,0.00,0.00,0.00,0.00,30.00,0.00,22.00,1822.00,,
Belmont,-,4,1132.00,322.00,74.00,28.00,5.00,0.00,0.00,0.00,0.00,25.00,0.00,17.00,1603.00,,
Belmont,-,5,1275.00,350.00,69.00,32.00,6.00,0.00,0.00,0.00,0.00,22.00,0.00,37.00,1791.00,,
Belmont,-,6,1366.00,339.00,52.00,36.00,10.00,0.00,0.00,0.00,0.00,16.00,0.00,30.00,1849.00,,
Belmont,-,7,1339.00,345.00,74.00,48.00,6.00,0.00,0.00,0.00,0.00,37.00,0.00,19.00,1868.00,,
Belmont,-,8,1249.00,544.00,77.00,28.00,11.00,0.00,0.00,0.00,0.00,28.00,0.00,34.00,1971.00,,
Berkley,-,1,793.00,1003.00,85.00,32.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,20.00,1965.00,,
Berkley,-,2,662.00,923.00,64.00,19.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,22.00,1714.00,,
Berlin,-,1,1009.00,745.00,124.00,38.00,3.00,0.00,0.00,0.00,0.00,20.00,0.00,27.00,1966.00,,
Bernardston,-,1,711.00,382.00,81.00,27.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,16.00,1244.00,,
Beverly,1,1,941.00,640.00,100.00,21.00,2.00,0.00,0.00,0.00,0.00,31.00,0.00,22.00,1757.00,,
Beverly,1,2,1072.00,705.00,115.00,24.00,8.00,0.00,0.00,0.00,0.00,18.00,0.00,49.00,1991.00,,
Beverly,2,1,1111.00,435.00,88.00,45.00,10.00,0.00,0.00,0.00,0.00,38.00,0.00,20.00,1747.00,,
Beverly,2,2,1336.00,484.00,94.00,31.00,7.00,0.00,0.00,0.00,0.00,27.00,0.00,45.00,2024.00,,
Beverly,3,1,916.00,396.00,87.00,40.00,12.00,0.00,0.00,0.00,0.00,30.00,0.00,16.00,1497.00,,
Beverly,3,2,1005.00,607.00,93.00,25.00,8.00,0.00,0.00,0.00,0.00,30.00,0.00,42.00,1810.00,,
Beverly,4,1,741.00,332.00,51.00,9.00,1.00,0.00,0.00,0.00,0.00,11.00,0.00,27.00,1172.00,,
Beverly,4,2,1489.00,557.00,87.00,35.00,7.00,0.00,0.00,0.00,0.00,32.00,0.00,35.00,2242.00,,
Beverly,5,1,1117.00,676.00,97.00,27.00,1.00,0.00,0.00,0.00,0.00,28.00,0.00,41.00,1987.00,,
Beverly,5,2,1073.00,661.00,78.00,29.00,6.00,0.00,0.00,0.00,0.00,30.00,0.00,56.00,1933.00,,
Beverly,6,1,1250.00,581.00,139.00,23.00,2.00,0.00,0.00,0.00,0.00,20.00,0.00,55.00,2070.00,,
Beverly,6,2,1134.00,830.00,113.00,23.00,5.00,0.00,0.00,0.00,0.00,24.00,0.00,54.00,2183.00,,
Billerica,-,1,1087.00,834.00,108.00,30.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,31.00,2125.00,,
Billerica,-,2,999.00,930.00,101.00,31.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,27.00,2143.00,,
Billerica,-,3,957.00,929.00,85.00,19.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,23.00,2055.00,,
Billerica,-,4,804.00,803.00,73.00,24.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,23.00,1751.00,,
Billerica,-,5,953.00,1093.00,93.00,17.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,34.00,2232.00,,
Billerica,-,6,795.00,820.00,81.00,32.00,0.00,0.00,0.00,0.00,0.00,44.00,0.00,19.00,1791.00,,
Billerica,-,7,979.00,876.00,82.00,30.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,25.00,2022.00,,
Billerica,-,8,955.00,1065.00,115.00,17.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,24.00,2212.00,,
Billerica,-,9,860.00,996.00,71.00,17.00,0.00,0.00,0.00,0.00,0.00,51.00,0.00,23.00,2018.00,,
Billerica,-,10,859.00,1061.00,80.00,26.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,27.00,2083.00,,
Billerica,-,11,852.00,912.00,87.00,21.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,20.00,1926.00,,
Blackstone,-,1,578.00,734.00,91.00,20.00,3.00,0.00,0.00,0.00,0.00,16.00,0.00,29.00,1471.00,,
Blackstone,-,2,670.00,776.00,83.00,23.00,1.00,0.00,0.00,0.00,0.00,16.00,0.00,23.00,1592.00,,
Blackstone,-,3,602.00,817.00,80.00,16.00,2.00,0.00,0.00,0.00,0.00,17.00,0.00,26.00,1560.00,,
Blandford,-,1,256.00,405.00,28.00,8.00,2.00,0.00,0.00,0.00,0.00,8.00,0.00,10.00,717.00,,
Bolton,-,1,1891.00,1036.00,230.00,54.00,14.00,0.00,0.00,0.00,0.00,67.00,0.00,53.00,3345.00,,
Boston,1,1,755.00,189.00,23.00,20.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,11.00,1016.00,,
Boston,1,2,562.00,142.00,21.00,12.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,11.00,755.00,,
Boston,1,3,1276.00,251.00,45.00,34.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,15.00,1636.00,,
Boston,1,4,366.00,88.00,10.00,13.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,7.00,492.00,,
Boston,1,5,652.00,153.00,28.00,10.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,11.00,867.00,,
Boston,1,6,556.00,138.00,19.00,14.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,6.00,746.00,,
Boston,1,7,604.00,143.00,17.00,13.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,11.00,806.00,,
Boston,1,8,859.00,187.00,27.00,16.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,14.00,1123.00,,
Boston,1,9,551.00,146.00,25.00,13.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,12.00,761.00,,
Boston,1,10,364.00,105.00,10.00,6.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,3.00,496.00,,
Boston,1,11,644.00,345.00,26.00,12.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,12.00,1058.00,,
Boston,1,12,582.00,364.00,37.00,12.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,16.00,1021.00,,
Boston,1,13,927.00,361.00,27.00,17.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,19.00,1367.00,,
Boston,1,14,425.00,219.00,16.00,4.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,678.00,,
Boston,1,15,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,
Boston,2,1,1164.00,384.00,93.00,11.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,23.00,1709.00,,
Boston,2,2,1530.00,378.00,61.00,25.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00,30.00,2067.00,,
Boston,2,3,876.00,211.00,53.00,12.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,17.00,1200.00,,
Boston,2,4,821.00,187.00,43.00,9.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,35.00,1118.00,,
Boston,2,5,875.00,280.00,61.00,5.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,22.00,1276.00,,
Boston,2,6,1028.00,381.00,71.00,14.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,29.00,1559.00,,
Boston,2,7,779.00,290.00,51.00,11.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,17.00,1176.00,,
Boston,3,1,1165.00,434.00,89.00,15.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,13.00,1758.00,,
Boston,3,2,856.00,298.00,54.00,7.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,17.00,1263.00,,
Boston,3,3,916.00,329.00,67.00,18.00,2.00,0.00,0.00,0.00,0.00,27.00,0.00,12.00,1371.00,,
Boston,3,4,931.00,361.00,64.00,16.00,7.00,0.00,0.00,0.00,0.00,28.00,0.00,15.00,1422.00,,
Boston,3,5,1684.00,386.00,76.00,24.00,4.00,0.00,0.00,0.00,0.00,32.00,0.00,23.00,2229.00,,
Boston,3,6,2121.00,536.00,131.00,23.00,1.00,0.00,0.00,0.00,0.00,69.00,0.00,23.00,2904.00,,
